ID	LATITUDE	LONGITUDE
529004	59.1790063	37.761208
529910	60.5857159	45.4006918
529885	59.1918589	39.637006
529875	59.2214969	37.6245128
529878	59.4408815	40.1404037
529898	59.6267718	39.839292
529884	58.9596085	36.5791231
529313	60.3091949	40.266799
529333	59.8748068	38.3845043
529204	59.1930474	39.7153708
529007	59.1780052	35.0741774
529023	61.2511872	36.6310416
529890	59.1564925	37.9168879
529100	60.818936	47.0690958
529908	60.437556	44.2760499
529868	59.9648959	42.8200097
529001	59.1457987	37.563895
529886	60.4874095	43.5816418
529011	59.4056166	35.9406289
529335	59.9015607	37.6650546
529872	59.1848863	37.8706066
529017	58.7863901	40.2570335
529321	59.761716	43.1489859
529894	59.9466965	40.1937121
529914	58.6320066	40.3067778
529207	59.1350231	37.998335
529005	58.9379121	37.3613261
529906	58.8905667	40.2662018
529869	59.1564925	37.9168879
529317	59.9363506	42.7046761
529347	59.2273859	38.5528873
102230	51.9488601	58.1894071
100243	54.0109558	54.1230055
100261	53.054467	55.9360286
100218	52.7478114	58.6978044
100228	54.9235348	56.1794431
